reason	source	line	original
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1105328	balena-devices.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108148	bari.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108523	barsy.bg
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108524	barsy.in
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108525	barsy.menu
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108526	barsy.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108527	barsy.online
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108528	barsy.shop
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108529	barsy.support
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108530	barsyonline.co.uk
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108531	barsyonline.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108715	base.ec
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108720	base.shop
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108939	bashkiria.ru
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108940	bashkiria.su
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108990	basicserver.io
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1109011	basilicata.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1110911	bbs.tr
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1111187	bc.ca
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1112667	bearblog.dev
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1113625	bedzin.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1113921	beep.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1114621	bel.tr
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1114725	belem.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1115191	belluno.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1116388	bergamo.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1116976	beskidy.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1120505	better-than.tv
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1122018	bg.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1122668	bhz.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1122692	bi.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1122740	bialowieza.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1122742	bialystok.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1123481	bielawa.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1123487	biella.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1123489	bielsko.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1123553	bieszczady.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1126260	bio.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1126916	bir.ru
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1127653	bitbucket.io
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128596	bitter.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128885	biz.id
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128886	biz.in
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128888	biz.my
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128892	biz.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128896	biz.tr
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128897	biz.ua
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128899	biz.vn
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1129294	bj.cn
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1130019	bl.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1130154	blackbaudcdn.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1132082	blog.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1132194	blogdns.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1132195	blogdns.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1132196	blogdns.org
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1132452	blogsite.org
