hostname	firstLabel	labelCount	suggestedExactHostRule	suggestedPslOverrideLabel	networkStatus
c.se	c	2	c.se	c	not-tested
c01.kr	c01	2	c01.kr	c01	not-tested
c66.me	c66	2	c66.me	c66	not-tested
ca.in	ca	2	ca.in	ca	not-tested
ca.it	ca	2	ca.it	ca	not-tested
ca.us	ca	2	ca.us	ca	not-tested
cable-modem.org	cable-modem	2	cable-modem.org	cable-modem	not-tested
caffeine.xyz	caffeine	2	caffeine.xyz	caffeine	not-tested
cafjs.com	cafjs	2	cafjs.com	cafjs	not-tested
cagliari.it	cagliari	2	cagliari.it	cagliari	not-tested
calabria.it	calabria	2	calabria.it	calabria	not-tested
calculators.cx	calculators	2	calculators.cx	calculators	not-tested
caltanissetta.it	caltanissetta	2	caltanissetta.it	caltanissetta	not-tested
camdvr.org	camdvr	2	camdvr.org	camdvr	not-tested
campaign.gov.uk	campaign	3	campaign.gov.uk	campaign	not-tested
campania.it	campania	2	campania.it	campania	not-tested
campinas.br	campinas	2	campinas.br	campinas	not-tested
campobasso.it	campobasso	2	campobasso.it	campobasso	not-tested
can.re	can	2	can.re	can	not-tested
candypop.jp	candypop	2	candypop.jp	candypop	not-tested
canva-apps.cn	canva-apps	2	canva-apps.cn	canva-apps	not-tested
canva-apps.com	canva-apps	2	canva-apps.com	canva-apps	not-tested
canva.link	canva	2	canva.link	canva	not-tested
canvacode.com	canvacode	2	canvacode.com	canvacode	not-tested
capoo.jp	capoo	2	capoo.jp	capoo	not-tested
carrd.co	carrd	2	carrd.co	carrd	not-tested
casacam.net	casacam	2	casacam.net	casacam	not-tested
caserta.it	caserta	2	caserta.it	caserta	not-tested
catania.it	catania	2	catania.it	catania	not-tested
catanzaro.it	catanzaro	2	catanzaro.it	catanzaro	not-tested
catfood.jp	catfood	2	catfood.jp	catfood	not-tested
catholic.edu.au	catholic	3	catholic.edu.au	catholic	not-tested
caxias.br	caxias	2	caxias.br	caxias	not-tested
cb.it	cb	2	cb.it	cb	not-tested
cbg.ru	cbg	2	cbg.ru	cbg	not-tested
cc.cd	cc	2	cc.cd	cc	not-tested
cc.ua	cc	2	cc.ua	cc	not-tested
cci.fr	cci	2	cci.fr	cci	not-tested
